	city	city_ascii
0	Banjul	Banjul
1	Brikama	Brikama
2	Mansa Konko	Mansa Konko
3	Basse Santa Su	Basse Santa Su
4	Kanifing	Kanifing
5	Janjanbureh	Janjanbureh
6	Kerewan	Kerewan
7	Farafenni	Farafenni
8	Bansang	Bansang
