	city	city_ascii
244	Phak Hai	Phak Hai
245	Ban Bu Sung	Ban Bu Sung
246	Sung Noen	Sung Noen
247	Kamalasai	Kamalasai
248	Wiang Sa	Wiang Sa
249	Ban Ratchakrut	Ban Ratchakrut
250	Non Sung	Non Sung
251	Nong Wua So	Nong Wua So
252	Bueng Khong Long	Bueng Khong Long
253	Photharam	Photharam
254	Chom Thong	Chom Thong
255	Ban Krot	Ban Krot
256	Chiang Klang	Chiang Klang
257	Thap Khlo	Thap Khlo
258	Mae Rim	Mae Rim
259	Kanchanadit	Kanchanadit
260	Bang Khla	Bang Khla
261	Ban Tha Phra	Ban Tha Phra
262	Nakhon Thai	Nakhon Thai
263	Nong Kung Si	Nong Kung Si
264	Suwannaphum	Suwannaphum
265	Pong Nam Ron	Pong Nam Ron
266	Akat Amnuai	Akat Amnuai
267	Kaeng Khro	Kaeng Khro
268	Thung Sai	Thung Sai
269	Kosum Phisai	Kosum Phisai
270	Tha Luang	Tha Luang
271	Thap Than	Thap Than
272	Kui Buri	Kui Buri
273	Takua Pa	Takua Pa
274	Bang Mun Nak	Bang Mun Nak
275	Pa Sang	Pa Sang
276	Phimai	Phimai
277	Kumphawapi	Kumphawapi
278	Yang Talat	Yang Talat
279	Ban Na	Ban Na
280	Nam Som	Nam Som
281	Ban Buak Khang	Ban Buak Khang
282	Nakhon Chai Si	Nakhon Chai Si
283	Bang Len	Bang Len
284	Sawang Daen Din	Sawang Daen Din
285	Non Sang	Non Sang
286	Chumsaeng	Chumsaeng
287	Tha Maka	Tha Maka
288	U Thong	U Thong
289	Phayakkhaphum Phisai	Phayakkhaphum Phisai
290	Damnoen Saduak	Damnoen Saduak
291	Khanu Woralaksaburi	Khanu Woralaksaburi
292	Chonnabot	Chonnabot
293	Ron Phibun	Ron Phibun
294	Sawang Wirawong	Sawang Wirawong
295	Chaiya	Chaiya
296	Nong Phai	Nong Phai
297	Thung Saliam	Thung Saliam
298	Khon Buri	Khon Buri
299	Soeng Sang	Soeng Sang
300	Ban Phue	Ban Phue
301	Bang Pa-in	Bang Pa-in
302	Ban Duea	Ban Duea
303	Uthumphon Phisai	Uthumphon Phisai
304	Hang Dong	Hang Dong
305	Sa Bot	Sa Bot
306	Phu Kradueng	Phu Kradueng
307	Ra-ngae	Ra-ngae
308	Thung Fon	Thung Fon
309	Tha Ruea	Tha Ruea
310	Ban Chan	Ban Chan
311	Nakhon Luang	Nakhon Luang
312	Si Chiang Mai	Si Chiang Mai
313	Bamnet Narong	Bamnet Narong
314	Bo Phloi	Bo Phloi
315	Ko Pha-Ngan	Ko Pha-Ngan
316	Chiang Kham	Chiang Kham
317	Charoen Sin	Charoen Sin
318	Ban Haet	Ban Haet
319	Na Duang	Na Duang
320	Ban Bang Pakong	Ban Bang Pakong
321	Yaring	Yaring
322	Phanom Sarakham	Phanom Sarakham
323	That Phanom	That Phanom
324	Phan Thong	Phan Thong
325	Nong Chik	Nong Chik
326	Ban Hua Saphan	Ban Hua Saphan
327	Uthai	Uthai
328	Lat Yao	Lat Yao
329	Nikhom Kham Soi	Nikhom Kham Soi
330	Phu Khiao	Phu Khiao
331	Bua Chet	Bua Chet
332	Khok Samrong	Khok Samrong
333	Pa Daet	Pa Daet
334	Dan Khun Thot	Dan Khun Thot
335	Wiset Chaichan	Wiset Chaichan
336	Si Prachan	Si Prachan
337	Prathai	Prathai
338	Phanna Nikhom	Phanna Nikhom
339	Rong Kham	Rong Kham
340	Nong Song Hong	Nong Song Hong
341	Lom Kao	Lom Kao
342	Wanon Niwat	Wanon Niwat
343	Pueai Noi	Pueai Noi
344	Ban Chet Samian	Ban Chet Samian
345	Pluak Daeng	Pluak Daeng
346	Kao Liao	Kao Liao
347	Ao Luek	Ao Luek
348	Borabue	Borabue
349	Huai Mek	Huai Mek
350	Moeiwadi	Moeiwadi
351	Phachi	Phachi
352	Non Sila	Non Sila
353	Phayuha Khiri	Phayuha Khiri
354	Ban Bang Tabun	Ban Bang Tabun
355	Pong	Pong
356	Ban Krang	Ban Krang
357	Bang Sai	Bang Sai
358	Amphawa	Amphawa
359	Kae Dam	Kae Dam
360	Nong Muang	Nong Muang
361	Kham Sakae Saeng	Kham Sakae Saeng
362	Phanom Thuan	Phanom Thuan
363	Sam Sung	Sam Sung
364	Tha Wang Pha	Tha Wang Pha
365	Waeng Yai	Waeng Yai
366	Ban Bang Pramung	Ban Bang Pramung
367	Sanom	Sanom
368	Nong Na Kham	Nong Na Kham
369	Kut Bak	Kut Bak
370	In Buri	In Buri
371	Mae Chai	Mae Chai
372	Thung Yai	Thung Yai
373	Phanom	Phanom
374	Ban Kham Pom	Ban Kham Pom
375	Ban Tham	Ban Tham
376	Ban Pa Lu Ru	Ban Pa Lu Ru
377	Ban Banlang	Ban Banlang
378	Ban Huai Mai	Ban Huai Mai
379	Ban Pao	Ban Pao
380	Ban Bua Ngam	Ban Bua Ngam
381	Sichon	Sichon
382	Ban Karaket	Ban Karaket
383	Ban Kamphuan	Ban Kamphuan
384	Ban Wang Kalang	Ban Wang Kalang
385	Ban Phon Yai	Ban Phon Yai
386	Ban Tai	Ban Tai
387	Ban Dong Mafai	Ban Dong Mafai
388	Ban Chiang	Ban Chiang
389	Ban Talat Ko Ta Ba Ru	Ban Talat Ko Ta Ba Ru
390	Ban Chiang Klom	Ban Chiang Klom
391	Ban Nam Phong	Ban Nam Phong
392	Ban San	Ban San
